Day,Weekday,Main Dish,Dish 1,Dish 2,Dish 3,Dish 4,Soup,Inspector(s),Measured Weight (kg),Type of Cuisine,Has Fried Food?,Has Rice?,Has Sauce?,Has Chicken?,Has Pork?
1,Tuesday,白飯 Rice,BBQ炒肉片 BBQ Fried Pork Slices,★菜脯炒蛋 Scrambled Eggs with dried radish,香菇豆腐煲 Mushroom Tofu Casserole,時蔬 Vegetable,鳳梨苦瓜雞湯 Bitter Gourd Chicken Soup,,,Chinese,FALSE,TRUE,FALSE,FALSE,FALSE
2,Wednesday,糙米飯 Brown Rice,咖哩雞 Chicken Curry,涼拌金針菇 Enoki Shrooms Cold Dish,春捲 Spring Rolls,時蔬 Vegetable,"酸菜肉片湯
 Sliced Pork Soup with Pickled Mustard Green",,,Chinese,FALSE,TRUE,FALSE,FALSE,FALSE
3,Thursday,義大利麵 Spaghetti,"波隆那(牛)肉醬義大利麵
 Bologna Spaghetti",麥克雞塊 Chicken Nuggets,"●○焗烤奶油地瓜 Creamy
 Sweet Potato Gratin",時蔬 Vegetable,洋蔥濃湯 Onion Soup,,,Italian,FALSE,FALSE,FALSE,FALSE,FALSE
4,Friday,烏龍麵 Udon Noodles,稻禾烏龍麵 Daohe Udon Noodles,唐揚炸雞 Chicken Karaage (Deep-Fried),油豆腐/★水煮蛋/海苔絲 Tofu / Egg / Seaweed,時蔬 Vegetable,,,,Japanese,FALSE,FALSE,FALSE,FALSE,FALSE
7,Monday,白飯 Rice,鷹嘴豆燉辣豬肉 Spicy Pork Stew with Chickpeas,"●★起司蒸蛋 Steamed Egg with
 Cheese",○●焗烤白菜 Cabbage Gratin,時蔬 Vegetable,大瓜貢丸湯 Winter Melon Meat Ball Soup,,,Chinese,FALSE,TRUE,FALSE,FALSE,TRUE
8,Tuesday,紫米飯 Purple Rice,糖醋雞丁 Sweet & Sour Chicken,"蘿蔔滷雙結 Braised Radish & Double Knots
 (Seaweed&Tofu Skin)","火腿玉米粒 Cubed Ham
 and Corn Kernels",時蔬 Vegetable,★紫菜蛋花湯 Egg-Drop Seaweed Soup,,,Chinese,FALSE,TRUE,FALSE,FALSE,FALSE
9,Wednesdayd,白飯 Rice,"薑汁燒肉 Braised Pork with
 Ginger Sauce","螞蟻上樹 Minced Pork
 w/ Glass Noodles",★木耳炒蛋 Fried Egg with Black Woodears,時蔬 Vegetable,剝皮辣椒雞湯 Pickled Peeled Chili Chicken Soup,,,Chinese,FALSE,TRUE,FALSE,FALSE,TRUE
14,Monday,白飯 Rice,"筍乾扣肉 Braised Pork Belly
 with Dried Bamboo Shoots",★鮮菇蒸蛋 Steamed Egg with Mushroom,塔香茄子 Basil Eggplant,時蔬 Vegetable,青木瓜排骨湯 Green Papaya Pork Rib Soup,,,Chinese,FALSE,TRUE,FALSE,FALSE,TRUE
15,Tuesday,五穀飯 Five Grain Rice,葡萄酒燉雞 Wine Braised Chicken,老皮嫩肉 Braised Egg Tofu,"西芹炒鮮菇 Fresh Mushroom
 with Celery",時蔬 Vegetable,玉米蘿蔔湯 Corn & Radish Soup,,,Chinese,FALSE,TRUE,FALSE,FALSE,FALSE
16,Wednesday,白飯 Rice,蘑菇肉片 Mushroom Pork,紅燒桂竹筍 Braised Gui Bamboo Shoots,"地瓜球 Deep-Fried Sweet
 Potato Balls",時蔬 Vegetable,香菇雞湯 Mushroom and Chicken Soup,,,Chinese,FALSE,TRUE,FALSE,FALSE,TRUE
